Course 1,Course 2,Take C1 Only,Take C1 Only Passed,Take Both,Take Both Passed C1,R(C1 only),R(Both),Toxic Or Synergistic
HIS 109,EPE 174,7305,6222,95,51,0.85174538,0.536842105,0.314903275
MA  123,ASC 310,12257,8898,34,14,0.725952517,0.411764706,0.314187811
CHE 105,ASC 205,23090,16038,84,32,0.694586401,0.380952381,0.31363402
COM 101,EPE 174,8785,7144,66,33,0.813204326,0.5,0.313204326
CS  101,MA  108R,2913,2559,60,34,0.878475798,0.566666667,0.311809131
CS  115,MA  109,3956,2730,118,45,0.690091001,0.381355932,0.308735069
CHE 111,UK  201,17132,12677,104,45,0.739960308,0.432692308,0.307268001
SOC 101,EPE 174,15159,13033,114,63,0.859753282,0.552631579,0.307121703
MA  123,FAM 253,10633,7682,62,26,0.722467789,0.419354839,0.30311295
BIO 152,GEN 200,3373,2362,35,14,0.700266825,0.4,0.300266825
CHE 107,WRD 203,9414,6737,48,20,0.715636286,0.416666667,0.29896962
CS  115,CS  101,4020,2749,44,17,0.683830846,0.386363636,0.297467209
MA  111,TA  265,13531,11396,33,18,0.842214175,0.545454545,0.296759629
STA 381,MA  213,1921,1671,40,23,0.869859448,0.575,0.294859448
GLY 130,MA  108R,2155,1749,87,45,0.811600928,0.517241379,0.294359549
STA 291,AEC 303,9912,8064,77,40,0.813559322,0.519480519,0.294078803
ECO 201,FAM 354,12042,10296,41,23,0.855007474,0.56097561,0.294031864
ANA 209,BIO 103,7256,5090,169,69,0.701488423,0.408284024,0.2932044
ANA 209,ENG 107,4181,2997,33,14,0.716814159,0.424242424,0.292571735
MA  194,EGR 112,1157,917,62,31,0.792566984,0.5,0.292566984
MA  123,AEC 305,18145,13050,82,35,0.719206393,0.426829268,0.292377125
MA  113,CS  216,10465,6781,59,21,0.647969422,0.355932203,0.292037218
MA  114,EGR 112,1257,905,70,30,0.719968178,0.428571429,0.29139675
BIO 150,MA  109,2732,2025,60,27,0.741215227,0.45,0.291215227
PLS 366,CHE 105,1394,1230,32,19,0.882352941,0.59375,0.288602941
FIN 300,AEC 316,5039,4561,47,29,0.905139909,0.617021277,0.288118632
CHE 105,JPN 101,18359,13142,56,24,0.715834196,0.428571429,0.287262767
MA  113,A&S 100,8577,5688,602,227,0.66316894,0.377076412,0.286092528
GRN 250,UK  090,2151,1883,39,23,0.875406788,0.58974359,0.285663198
MA  213,STA 381,6836,5197,40,19,0.760239906,0.475,0.285239906
A-S 130,A&S 100,1346,1153,35,20,0.856612184,0.571428571,0.285183613
CHE 236,ASC 378,394,297,51,24,0.753807107,0.470588235,0.283218871
COM 101,A&S 141,1769,1208,50,20,0.682871679,0.4,0.282871679
HIS 108,EPE 174,6943,5626,72,38,0.810312545,0.527777778,0.282534767
ANA 209,CIS 110,5537,3889,57,24,0.702365902,0.421052632,0.281313271
AN  300,DHN 342,4998,4481,47,29,0.896558623,0.617021277,0.279537347
KHP 415,CHE 108,655,606,34,22,0.92519084,0.647058824,0.278132016
CS  215,A&S 100,2501,1963,71,36,0.784886046,0.507042254,0.277843792
CS  221,WRD 110,1951,1729,46,28,0.886212199,0.608695652,0.277516547
CS  115,MA  112,3457,2408,124,52,0.696557709,0.419354839,0.27720287
CHE 105,WRD 203,13299,9344,47,20,0.702609219,0.425531915,0.277077304
CS  216,MA  193,1829,1522,54,30,0.832148715,0.555555556,0.27659316
MA  162,A&S 100,7053,5967,63,36,0.846022969,0.571428571,0.274594398
MA  114,CE  211,7091,4895,89,37,0.690311663,0.415730337,0.274581326
ANA 209,MA  111,7342,5133,108,46,0.699128303,0.425925926,0.273202377
MNG 264,MA  193,450,337,63,30,0.748888889,0.476190476,0.272698413
CHE 105,SPA 102,23447,16279,147,62,0.694289248,0.421768707,0.272520541
MA  108R,PLS 104,2495,1386,53,15,0.555511022,0.283018868,0.272492154
ECO 201,FAM 499,23894,20448,36,21,0.855779694,0.583333333,0.27244636
ECO 391,GEN 100,8709,7990,31,20,0.917441727,0.64516129,0.272280437
MA  109,ITA 101,15322,10848,39,17,0.708001566,0.435897436,0.27210413
PLS 320,LA  206,79,54,34,14,0.683544304,0.411764706,0.271779598
WRD 203,A&S 100,5019,4542,60,38,0.904961148,0.633333333,0.271627814
ENT 110,ENG 104,712,630,44,27,0.884831461,0.613636364,0.271195097
CHE 230,ASC 325,6279,4970,98,51,0.791527313,0.520408163,0.27111915
BIO 152,EQM 351,5559,4453,66,35,0.801043353,0.53030303,0.270740323
PHY 211,CHE 104,4937,4361,62,38,0.883329957,0.612903226,0.270426732
ANA 209,EDP 202,7373,5146,77,33,0.697951987,0.428571429,0.269380558
BIO 308,CHE 230,1944,1715,31,19,0.882201646,0.612903226,0.26929842
CHE 109,A&S 100,1267,863,46,19,0.681136543,0.413043478,0.268093065
CHE 107,UK  201,14492,9996,52,22,0.689759868,0.423076923,0.266682944
CS  115,GEO 109,1888,1290,36,15,0.683262712,0.416666667,0.266596045
CHE 105,PHI 120,23491,16297,103,44,0.693755055,0.427184466,0.266570589
CHE 105,UK  201,23041,16013,133,57,0.694978517,0.428571429,0.266407088
CME 200,MA  114,1186,935,113,59,0.78836425,0.522123894,0.266240356
A&S 300,A&S 100,1434,1209,149,86,0.843096234,0.577181208,0.265915026
A&S 100,EPE 174,6807,5643,55,31,0.828999559,0.563636364,0.265363196
CME 200,MA  194,1201,943,98,51,0.785179017,0.520408163,0.264770854
MA  123,ARC 203,9193,6655,37,17,0.723920374,0.459459459,0.264460915
PHY 211,KHP 547,2930,2550,33,20,0.870307167,0.606060606,0.264246561
PSY 100,UK  096,5267,4316,54,30,0.819441807,0.555555556,0.263886252
BIO 152,MKT 300,9793,7584,45,23,0.774430716,0.511111111,0.263319605
PHI 120,EPE 174,9898,7752,48,25,0.783188523,0.520833333,0.26235519
ACC 222,ACC 221,33,31,31,21,0.939393939,0.677419355,0.261974585
MA  114,MNG 331,2970,1862,52,19,0.626936027,0.365384615,0.261551412
CHE 111,WRD 203,10232,7476,49,23,0.730648944,0.469387755,0.261261189
PHI 100,EPE 174,5954,4998,57,33,0.839435673,0.578947368,0.260488305
COM 313,CIS 110,1628,1466,39,25,0.9004914,0.641025641,0.259465759
AST 192,MA  108R,2407,1676,48,21,0.696302451,0.4375,0.258802451
ANA 109,MA  108R,1323,1019,86,44,0.770219199,0.511627907,0.258591292
MA  137,A&S 100,1623,1123,113,49,0.691928527,0.433628319,0.258300209
CHE 105,WRD 130,9991,6951,32,14,0.695726154,0.4375,0.258226154
A-H 106,A&S 100,2457,1985,60,33,0.807895808,0.55,0.257895808
ACC 201,MA  111,14923,9486,45,17,0.63566307,0.377777778,0.257885293
UK  090,EPE 174,1491,723,44,10,0.484909457,0.227272727,0.257636729
ANA 209,A&S 100,6263,4305,93,40,0.68737027,0.430107527,0.257262743
MNG 264,MA  113,446,334,67,33,0.748878924,0.492537313,0.25634161
GEO 160,EPE 174,7087,5894,73,42,0.831663609,0.575342466,0.256321144
CS  216,MA  113,1824,1518,59,34,0.832236842,0.576271186,0.255965656
MA  114,CLA 131,7466,5161,39,17,0.691267077,0.435897436,0.255369642
BIO 209,CHE 105,3269,3082,48,33,0.942795962,0.6875,0.255295962
FIN 250,MA  123,1224,940,37,19,0.767973856,0.513513514,0.254460343
CHE 105,FR  102,23553,16323,41,18,0.693032735,0.43902439,0.254008344
ECO 201,AED 362,13262,11349,53,32,0.85575328,0.603773585,0.251979695
ANT 160,A-S 380,13844,12435,34,22,0.898223057,0.647058824,0.251164233
CHE 231,UK  201,7865,7215,33,22,0.917355372,0.666666667,0.250688705
STA 381,CS  115,1927,1673,34,21,0.868188895,0.617647059,0.250541836
CHE 107,AST 192,14966,10292,32,14,0.687692102,0.4375,0.250192102
BIO 152,AEC 302,9246,7145,42,22,0.772766602,0.523809524,0.248957078
MA  194,MNG 331,2569,1892,41,20,0.736473336,0.487804878,0.248668458
ENG 107,UK  090,1952,1665,43,26,0.852971311,0.604651163,0.248320149
AN  300,FAM 352,5694,5079,31,20,0.89199157,0.64516129,0.24683028
CHE 230,BIO 425,8084,6186,50,26,0.76521524,0.52,0.24521524
ECO 202,GWS 200,14159,11416,57,32,0.806271629,0.561403509,0.244868121
AST 191,MA  108R,3106,2370,110,57,0.763039279,0.518181818,0.244857461
GRN 250,HIS 108,3827,3281,31,19,0.857329501,0.612903226,0.244426275
BIO 208,CS  101,6638,5846,33,21,0.880686954,0.636363636,0.244323318
MA  110,A&S 150,2965,1867,44,17,0.629679595,0.386363636,0.243315959
MUS 123,A&S 100,2453,2181,48,31,0.889115369,0.645833333,0.243282036
ECO 202,RTM 345,5175,4168,32,18,0.805410628,0.5625,0.242910628
PGY 206,A&S 100,4379,3336,52,27,0.761817767,0.519230769,0.242586997
CHE 113,PLS 366,11141,9623,37,23,0.863746522,0.621621622,0.2421249
CHE 113,UK  201,11141,9623,37,23,0.863746522,0.621621622,0.2421249
BIO 304,ASC 101,2711,2230,31,18,0.822574696,0.580645161,0.241929534
CHE 105,KHP 210,23444,16267,42,19,0.693866234,0.452380952,0.241485282
BIO 150,GEN 200,1994,1445,31,15,0.724674022,0.483870968,0.240803054
CHE 107,ASC 320,10945,7217,43,18,0.659387848,0.418604651,0.240783197
CS  221,MA  110,2479,2118,44,27,0.854376765,0.613636364,0.240740401
CHE 109,STA 210,1727,1188,38,17,0.687898089,0.447368421,0.240529668
ACC 418,B&E 104,1297,1025,40,22,0.790285274,0.55,0.240285274
ECO 401,BIO 111,2318,1784,34,18,0.769628991,0.529411765,0.240217226
GEO 160,GEN 100,5850,4806,43,25,0.821538462,0.581395349,0.240143113
CHE 230,GEN 100,7462,5727,36,19,0.767488609,0.527777778,0.239710831
BIO 150,ASC 101,881,552,31,12,0.626560726,0.387096774,0.239463952
AST 191,UK  090,3986,3070,81,43,0.770195685,0.530864198,0.239331487
STA 381,CE  120,1292,1059,31,18,0.819659443,0.580645161,0.239014281
CHE 105,GEN 109,23081,16036,149,68,0.694770591,0.456375839,0.238394752
CHE 111,ABT 201,13286,9996,33,17,0.752370917,0.515151515,0.237219402
CHE 107,KHP 230,14793,10196,84,38,0.689244913,0.452380952,0.236863961
CPH 201,UK  090,1604,1462,40,27,0.911471322,0.675,0.236471322
BIO 103,A&S 141,2523,2077,46,27,0.823226318,0.586956522,0.236269796
CHE 113,HIS 105,10998,9472,32,20,0.8612475,0.625,0.2362475
MA  109,UK  201,18046,12496,103,47,0.692452621,0.45631068,0.236141941
ECO 201,SOC 350,23706,20272,42,26,0.855142158,0.619047619,0.236094539
CHE 107,PSY 311,14967,10292,31,14,0.687646155,0.451612903,0.236033252
SOC 101,WRD 130,5567,4905,31,20,0.881084965,0.64516129,0.235923675
WRD 111,A&S 140,3970,3705,76,53,0.93324937,0.697368421,0.235880949
ECO 412,SPA 201,2435,2118,41,26,0.869815195,0.634146341,0.235668854
BIO 103,UK  100,13501,11023,179,104,0.81645804,0.581005587,0.235452454
CHE 107,MA  111,14956,10287,42,19,0.687817598,0.452380952,0.235436646
HIS 104,A&S 100,2478,1954,56,31,0.788539144,0.553571429,0.234967716
MA  113,GEO 130,10505,6798,46,19,0.647120419,0.413043478,0.234076941
PHI 130,EPE 174,4614,4015,55,35,0.87017772,0.636363636,0.233814084
MA  193,ME  205,10431,7794,74,38,0.747195858,0.513513514,0.233682345
CHE 109,CHE 105,1653,1153,112,52,0.697519661,0.464285714,0.233233947
COM 313,MA  109,1634,1469,33,22,0.899020808,0.666666667,0.232354141
CHE 105,PGY 206,23023,15991,173,80,0.694566303,0.462427746,0.232138558
MA  108R,NFS 101,2656,1501,39,13,0.565135542,0.333333333,0.231802209
MA  112,UK  201,1422,922,36,15,0.64838256,0.416666667,0.231715893
CHE 232,HIS 109,5928,4238,31,15,0.714912281,0.483870968,0.231041313
MA  114,AMS 102,4281,3193,33,17,0.745853772,0.515151515,0.230702257
AST 191,UK  100,7143,5603,74,41,0.784404312,0.554054054,0.230350258
GWS 200,HES 100,2343,2100,36,24,0.896286812,0.666666667,0.229620145
MA  213,A&S 100,5957,4504,112,59,0.756085278,0.526785714,0.229299564
MA  114,HIS 108,7423,5140,82,38,0.692442409,0.463414634,0.229027775
ACC 201,EES 110,8280,5390,45,19,0.650966184,0.422222222,0.228743961
BIO 208,MA  111,6947,6148,32,21,0.884986325,0.65625,0.228736325
BIO 152,GEN 109,9294,7193,33,18,0.773940176,0.545454545,0.228485631
MA  193,CS  216,10451,7804,54,28,0.746722802,0.518518519,0.228204283
SOC 101,AMS 250,18190,15722,33,21,0.864321056,0.636363636,0.227957419
ME  330,MNG 463,609,456,48,25,0.748768473,0.520833333,0.22793514
ANA 209,PHI 120,7367,5140,83,39,0.697705986,0.469879518,0.227826468
PSY 100,AAS 200,20396,16884,55,33,0.827809374,0.6,0.227809374
ECO 202,ART 191,8209,6594,33,19,0.803264709,0.575757576,0.227507134
PHI 120,MA  108R,6417,4975,73,40,0.775284401,0.547945205,0.227339195
MA  113,CHE 109,4496,2981,78,34,0.663033808,0.435897436,0.227136372
COM 252,IEC 120,11492,10378,34,23,0.903063,0.676470588,0.226592412
CS  221,MA  193,2345,2031,178,114,0.866098081,0.640449438,0.225648643
CS  221,CHE 105,2368,2062,209,135,0.870777027,0.645933014,0.224844013
MA  194,CLA 131,6421,5009,36,20,0.780096558,0.555555556,0.224541003
ACC 201,GEN 200,4902,2955,37,14,0.602815177,0.378378378,0.224436799
ACC 201,MKT 320,14689,9343,34,14,0.63605419,0.411764706,0.224289484
A-S 102,A&S 100,1796,1616,37,25,0.899777283,0.675675676,0.224101607
BIO 308,CHE 231,1934,1707,41,27,0.88262668,0.658536585,0.224090095
ANA 209,CHE 108,3734,2589,98,46,0.693358329,0.469387755,0.223970574
MA  109,GLY 220,9515,6499,37,17,0.6830268,0.459459459,0.22356734
CHE 105,ANA 109,18136,12991,71,35,0.716310101,0.492957746,0.223352355
CS  221,MA  113,2385,2073,192,124,0.86918239,0.645833333,0.223349057
BIO 315,CHE 113,3293,2805,35,22,0.851806863,0.628571429,0.223235434
A&S 300,CHE 105,1714,1411,60,36,0.823220537,0.6,0.223220537
MA  113,HIS 105,10032,6475,45,19,0.645434609,0.422222222,0.223212387
CHE 107,KHP 190,14867,10244,88,41,0.689042847,0.465909091,0.223133756
STA 291,AEC 302,9699,7879,56,33,0.812351789,0.589285714,0.223066075
SOC 360,STA 210,578,479,33,20,0.828719723,0.606060606,0.222659117
AN  300,ISC 491,6451,5795,34,23,0.898310339,0.676470588,0.221839751
ACC 201,UKC 130,5334,3417,31,13,0.640607424,0.419354839,0.221252585
FAM 251,ENG 104,1773,1601,44,30,0.902989284,0.681818182,0.221171102
PSY 216,A&S 100,2828,2321,40,24,0.820721358,0.6,0.220721358
EGR 199,ART 191,1644,1445,41,27,0.878953771,0.658536585,0.220417186
ECO 201,FAM 360,23158,19816,85,54,0.85568702,0.635294118,0.220392902
BIO 103,A-S 380,14824,12069,37,22,0.814152725,0.594594595,0.219558131
CHE 105,KHP 573,19848,13696,34,16,0.690044337,0.470588235,0.219456102
EM  221,CS  115,3635,2659,41,21,0.731499312,0.512195122,0.21930419
STA 291,GEN 200,5712,4787,42,26,0.838060224,0.619047619,0.219012605
BIO 209,CHE 111,3259,3073,58,42,0.942927278,0.724137931,0.218789347
ECO 410,SPA 201,1082,958,33,22,0.885397412,0.666666667,0.218730746
MA  193,GEO 130,10452,7804,53,28,0.746651359,0.528301887,0.218349472
PHY 211,CHE 108,1706,1422,39,24,0.833528722,0.615384615,0.218144107
BIO 315,MA  123,3287,2801,41,26,0.852144813,0.634146341,0.217998471
PSY 100,UK  100,24121,20135,363,224,0.834749803,0.61707989,0.217669913
CHE 111,A&S 150,8746,6411,95,49,0.73302081,0.515789474,0.217231336
ANA 209,CHE 104,3428,2447,155,77,0.713827305,0.496774194,0.217053111
ANA 209,FAM 252,2209,1510,45,21,0.683567225,0.466666667,0.216900558
ACC 201,CHE 108,5363,3370,34,14,0.628379638,0.411764706,0.216614932
MA  113,SPA 201,10808,6997,58,25,0.647390822,0.431034483,0.216356339
BIO 152,EQM 399,8037,6331,35,20,0.787731741,0.571428571,0.216303169
MA  110,FR  101,4480,2867,33,14,0.639955357,0.424242424,0.215712933
DHN 241,MA  109,1335,1102,41,25,0.825468165,0.609756098,0.215712067
PHY 231,AST 191,7527,6270,34,21,0.833001196,0.617647059,0.215354137
GRN 250,UK  100,2952,2540,31,20,0.860433604,0.64516129,0.215272314
BIO 103,UK  201,15354,12516,65,39,0.815162173,0.6,0.215162173
A-S 130,SOC 101,1457,1244,36,23,0.853809197,0.638888889,0.214920308
ANT 160,EPE 174,10588,9479,97,66,0.895258784,0.680412371,0.214846412
MA  113,ME  205,10441,6766,83,36,0.64802222,0.43373494,0.21428728
CHE 105,HIS 104,23174,16082,125,60,0.693967377,0.48,0.213967377
CS  221,MNG 101,987,863,165,109,0.874366768,0.660606061,0.213760707
ECO 401,SPA 101,2838,2239,73,42,0.78893587,0.575342466,0.213593405
ENG 104,EPE 174,12142,10604,194,128,0.873332235,0.659793814,0.213538421
CHE 232,A&S 300,5283,3703,41,20,0.700927503,0.487804878,0.213122625
MNG 191,MA  193,148,127,31,20,0.858108108,0.64516129,0.212946818
PSY 100,A&S 141,4271,3544,154,95,0.829782252,0.616883117,0.212899136
CHE 105,A&S 150,11649,8192,108,53,0.703236329,0.490740741,0.212495589
SOC 101,UK  120,2981,2682,32,22,0.899698088,0.6875,0.212198088
ECO 202,NFS 241,6484,5134,50,29,0.791795188,0.58,0.211795188
ACC 201,PLS 104,14280,9063,52,22,0.634663866,0.423076923,0.211586942
MA  137,SPA 101,1944,1303,37,17,0.67026749,0.459459459,0.21080803
MA  213,CS  375,6831,5186,31,17,0.759186064,0.548387097,0.210798967
GRN 250,UK  201,3823,3278,34,22,0.8574418,0.647058824,0.210382976
A&S 100,ANA 109,4602,3932,152,98,0.854411126,0.644736842,0.209674283
BIO 304,MA  123,4428,3662,34,21,0.827009937,0.617647059,0.209362878
PHY 231,A&S 100,6426,5393,127,80,0.83924681,0.62992126,0.20932555
PSY 100,PHY 151,17528,14570,45,28,0.831241442,0.622222222,0.20901922
ANT 160,UK  090,7224,6380,83,56,0.88316722,0.674698795,0.208468425
CHE 103,A&S 100,3681,2853,90,51,0.775061125,0.566666667,0.208394458
GEO 255,MA  111,635,516,43,26,0.812598425,0.604651163,0.207947262
SOC 101,A-S 130,11208,9797,36,24,0.87410778,0.666666667,0.207441113
ECO 401,MA  123,2873,2259,38,22,0.786286112,0.578947368,0.207338744
CHE 107,ASC 205,14391,9944,153,74,0.690987423,0.483660131,0.207327292
AST 192,A&S 100,2769,2001,64,33,0.722643554,0.515625,0.207018554
A&S 300,COM 101,1637,1342,31,19,0.819792303,0.612903226,0.206889077
PGY 206,CHE 105,5085,3903,173,97,0.767551622,0.560693642,0.206857981
ANA 109,A&S 100,4293,3288,152,85,0.765897973,0.559210526,0.206687447
MA  109,MUP 102,18116,12527,33,16,0.691488187,0.484848485,0.206639702
MNG 575,MNG 463,97,87,97,67,0.896907216,0.690721649,0.206185567
STA 291,A&S 350,6910,5371,35,20,0.777279305,0.571428571,0.205850734
ECO 202,GEN 109,14146,11398,35,21,0.805740139,0.6,0.205740139
CHE 197,A&S 100,2192,2001,65,46,0.912864964,0.707692308,0.205172656
PSY 100,UK  120,5327,4381,68,42,0.822414117,0.617647059,0.204767058
CHE 111,EQM 106,4590,3378,32,17,0.735947712,0.53125,0.204697712
PSY 100,UK  090,14031,11695,458,288,0.83351151,0.628820961,0.20469055
MA  213,EGR 112,1352,990,72,38,0.732248521,0.527777778,0.204470743
MA  109,MUS 001,18087,12505,78,38,0.69138055,0.487179487,0.204201062
PSY 100,MUC 174,26915,22317,40,25,0.829165893,0.625,0.204165893
A&S 300,CHE 111,1727,1418,47,29,0.821077012,0.617021277,0.204055736
PGY 206,PHI 120,5199,3967,59,33,0.763031352,0.559322034,0.203709318
WRD 111,GER 101,13966,13002,55,40,0.930975226,0.727272727,0.203702498
FIN 300,AEC 309,5445,4946,78,55,0.90835629,0.705128205,0.203228085
MA  109,MUC 150,13180,9500,56,29,0.720789074,0.517857143,0.202931931
PSY 100,UK  095,5225,4294,84,52,0.821818182,0.619047619,0.202770563
CHE 105,DHN 241,12268,8617,88,44,0.702396479,0.5,0.202396479
SPA 102,COM 314,2937,2608,35,24,0.887980933,0.685714286,0.202266647
FIN 300,AEC 445G,7735,6916,39,27,0.894117647,0.692307692,0.201809955
KHP 420G,CHE 104,880,759,56,37,0.8625,0.660714286,0.201785714
CHE 105,EQM 106,6182,4244,33,16,0.68650922,0.484848485,0.201660735
MA  109,HIS 122,2048,1353,61,28,0.660644531,0.459016393,0.201628138
ECO 201,A&S 140,4957,4303,36,24,0.868065362,0.666666667,0.201398695
PSY 215,FAM 357,3969,3407,35,23,0.85840262,0.657142857,0.201259763
CHE 236,ASC 325,514,389,36,20,0.756809339,0.555555556,0.201253783
COM 249,CIS 110,3667,3345,45,32,0.912189801,0.711111111,0.20107869
ECO 391,AEC 316,4794,4450,33,24,0.928243638,0.727272727,0.200970911
CHE 105,FAM 253,18554,13252,37,19,0.714239517,0.513513514,0.200726004
GEO 109,A&S 100,2337,2048,37,25,0.876337184,0.675675676,0.200661509
CHE 230,CHE 111,8386,6397,32,18,0.762818984,0.5625,0.200318984
MA  111,AAS 200,10984,9363,46,30,0.852421704,0.652173913,0.200247791
GEO 162,PHI 120,2444,2145,31,21,0.877659574,0.677419355,0.20024022
ME  205,MA  113,2057,1849,83,58,0.898881867,0.698795181,0.200086686
MA  109,MUS 170,13165,9492,71,37,0.721002659,0.521126761,0.199875898
CHE 105,GEN 200,9292,6377,37,18,0.686289281,0.486486486,0.199802795
MKT 300,SOC 302,16075,14762,32,23,0.918320373,0.71875,0.199570373
CHE 236,ASC 364,445,323,38,20,0.725842697,0.526315789,0.199526907
EE  480,EE  383,145,117,51,31,0.806896552,0.607843137,0.199053414
PS  101,UK  100,9256,7550,94,58,0.815687122,0.617021277,0.198665845
ECO 201,SW  124,23184,19826,67,44,0.85515873,0.656716418,0.198442312
BIO 208,A&S 100,5231,4616,38,26,0.882431657,0.684210526,0.198221131
ECO 201,FAM 352,13220,11492,70,47,0.869288956,0.671428571,0.197860385
FIN 300,FAM 352,6295,5559,35,24,0.883081811,0.685714286,0.197367525
WRD 111,WRD 130,9008,8383,45,33,0.930617229,0.733333333,0.197283896
PHY 211,CHE 105,7055,6095,129,86,0.863926293,0.666666667,0.197259627
GLY 110,EPE 174,4132,3509,46,30,0.849225557,0.652173913,0.197051644
FIN 250,B&E 201,1154,883,44,25,0.765164645,0.568181818,0.196982827
A&S 100,UK  110,6944,5765,90,57,0.830213134,0.633333333,0.1968798
BIO 152,AST 191,9570,7393,33,19,0.772518286,0.575757576,0.196760711
ANA 209,HIS 109,7396,5152,54,27,0.696592753,0.5,0.196592753
MA  109,UK  130,4152,3122,36,20,0.751926782,0.555555556,0.196371227
FIN 300,AEC 422,9643,8663,94,66,0.898371876,0.70212766,0.196244216
FIN 300,RTM 345,3846,3318,39,26,0.862714509,0.666666667,0.196047842
CHE 232,DHN 311,696,516,33,18,0.74137931,0.545454545,0.195924765
CHE 113,ASC 325,4730,3926,41,26,0.830021142,0.634146341,0.1958748
UK  120,UK  096,292,243,33,21,0.832191781,0.636363636,0.195828144
ACC 201,HMT 120,12095,7846,117,53,0.648697809,0.452991453,0.195706356
CHE 232,ASC 364,4242,3130,83,45,0.7378595,0.542168675,0.195690826
BIO 103,FAM 253,8746,7154,53,33,0.817973931,0.622641509,0.195332422
BAE 103,MA  193,350,307,44,30,0.877142857,0.681818182,0.195324675
CHE 104,A&S 100,2072,1428,87,43,0.689189189,0.494252874,0.194936316
